Loop:10,Time,Activity,usr,sys,nic,idle,io,irq,sirq,Data Time
0,2018,com.android.launcher3/.Launcher,6.6,33.3,0,60,0,0,0,2015/05/18 06:39:48
1,2028,com.android.launcher3/.Launcher,0,0,0,100,100,0,0,2015/05/18 06:39:59
2,2038,com.android.dialer/.DialtactsActivity,0,5.1,0,94.8,0,0,0,2015/05/18 06:40:08
3,2048,com.android.dialer/.DialtactsActivity,0,0,0,0,0,0,0,2015/05/18 06:40:18
4,2058,com.android.launcher3/.Launcher,0,25,0,75,0,0,0,2015/05/18 06:40:29
5,2068,com.android.launcher3/.Launcher,4,12,0,84,0,0,0,2015/05/18 06:40:38
6,2078,com.android.launcher3/.Launcher,0,9.5,0,90.4,0,0,0,2015/05/18 06:40:48
7,2088,com.android.launcher3/.Launcher,20,50,0,30,0,0,0,2015/05/18 06:40:59
8,2098,com.android.phone/.MobileNetworkSettings,7.4,16.6,0,75.9,0,0,0,2015/05/18 06:41:09
9,2109,com.android.phone/.MobileNetworkSettings,4.7,4.7,0,90.4,0,0,0,2015/05/18 06:41:19
10,2119,com.android.phone/.MobileNetworkSettings,0,23,0,76.9,0,0,0,2015/05/18 06:41:29
11,2129,com.android.settings/.Settings,2.9,3.9,0,93.1,0,0,0,2015/05/18 06:41:41
12,2139,com.android.settings/.SubSettings,7.1,21.4,0,71.4,0,0,0,2015/05/18 06:41:51
13,2149,com.android.dialer/.DialtactsActivity,34.3,3.1,0,62.5,0,0,0,2015/05/18 06:42:01
14,2159,com.android.dialer/.DialtactsActivity,0,35.7,0,64.2,0,0,0,2015/05/18 06:42:11
15,2169,com.android.dialer/com.android.incallui.InCallActivity,38.5,19.2,0,42.1,0,0,0,2015/05/18 06:42:21
16,2179,com.android.dialer/com.android.incallui.InCallActivity,0,30.7,0,69.2,0,0,0,2015/05/18 06:42:31
17,2189,com.android.dialer/com.android.incallui.InCallActivity,7.6,11.5,0,80.7,0,0,0,2015/05/18 06:42:41
18,2199,com.android.launcher3/.Launcher,71.4,21.4,0,7.1,0,0,0,2015/05/18 06:42:50
