Loop:10,Time,PID,%CPU,Command,Thread/avgs
0,2018,7295,9.9,/sbin/adbd,--root_seclabel=u:r:su:s0,
5,2068,2976,3.2,com.android.launcher3,droid.launcher3
5,2068,251,3.2,/system/bin/surfaceflinger,
6,2078,834,1.9,system_server,
6,2078,1878,1.9,com.android.systemui,ndroid.systemui
6,2078,2976,1.9,com.android.launcher3,droid.launcher3
6,2078,7295,1.9,/sbin/adbd,--root_seclabel=u:r:su:s0,
7,2088,2976,15.5,com.android.launcher3,droid.launcher3
7,2088,251,15.5,/system/bin/surfaceflinger,
7,2088,834,7.7,system_server,
7,2088,249,7.7,/system/bin/servicemanager,
7,2088,7158,7.7,[kworker/u16:7],
7,2088,7153,7.7,[kworker/u16:3],
8,2098,834,6,system_server,
8,2098,7295,6,/sbin/adbd,--root_seclabel=u:r:su:s0,
8,2098,16459,4.5,logcat,-v time,
8,2098,2452,1.5,com.baidu.map.location,du.map.location
8,2098,6708,1.5,[kworker/0:2],
8,2098,815,1.5,[kworker/1:2],
8,2098,5177,1.5,[kworker/2:2],
9,2109,251,4.7,/system/bin/surfaceflinger,
10,2119,834,5.7,system_server,
11,2129,1878,0.9,com.android.systemui,ndroid.systemui
11,2129,2976,0.9,com.android.launcher3,droid.launcher3
13,2149,834,34.3,system_server,
14,2159,3,7.1,[ksoftirqd/0],
15,2169,30343,22.7,com.android.incallui,ndroid.incallui
15,2169,267,19.2,/system/bin/mediaserver,
15,2169,1878,3.5,com.android.systemui,ndroid.systemui
15,2169,251,3.5,/system/bin/surfaceflinger,
15,2169,7295,1.7,/sbin/adbd,--root_seclabel=u:r:su:s0,
15,2169,152,1.7,[mtk_charger_hv_],
15,2169,5907,1.7,[kworker/u16:2],
16,2179,834,5.1,system_server,
16,2179,251,5.1,/system/bin/surfaceflinger,
16,2179,7017,5.1,[kworker/0:1],
18,2199,834,28.5,system_server,
18,2199,2976,21.3,com.android.launcher3,droid.launcher3
18,2199,251,14.2,/system/bin/surfaceflinger,
18,2199,7295,7.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
18,2199,57,7.1,[cfinteractive],
18,2199,7154,7.1,[kworker/u16:4],
19,2209,834,8.3,system_server,
20,2219,768,2.5,/system/bin/mtkrild,
22,2239,834,4.5,system_server,
22,2239,2976,4.5,com.android.launcher3,droid.launcher3
23,2249,2976,4,com.android.launcher3,droid.launcher3
23,2249,251,2,/system/bin/surfaceflinger,
23,2249,128,1,[frame_update_wo],
23,2249,7154,1,[kworker/u16:4],
23,2249,7153,1,[kworker/u16:3],
25,2269,834,45.7,system_server,
27,2289,2976,12.4,com.android.launcher3,droid.launcher3
27,2289,251,4.1,/system/bin/surfaceflinger,
27,2289,7153,4.1,[kworker/u16:3],
29,2309,257,26.1,/system/bin/ccci_mdinit,0,
29,2309,2681,7.1,com.android.settings,ndroid.settings
29,2309,251,2.3,/system/bin/surfaceflinger,
29,2309,152,2.3,[mtk_charger_hv_],
29,2309,7153,2.3,[kworker/u16:3],
30,2319,2681,44.9,com.android.settings,ndroid.settings
30,2319,834,4,system_server,
30,2319,22040,4,/system/bin/mtkrild,
30,2319,22019,4,/system/bin/gsm0710muxd,-s /dev/ttyC0 -f 512 -n 8 -m basic,
30,2319,10047,4,logcat,-v time,
30,2319,152,4,[mtk_charger_hv_],
31,2329,22040,7.6,/system/bin/mtkrild,
32,2339,834,4.3,system_server,
32,2339,3182,4.3,com.android.providers.calendar,viders.calendar
32,2339,7295,4.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
32,2339,3,4.3,[ksoftirqd/0],
33,2349,57,7.6,[cfinteractive],
34,2359,5907,1.1,[kworker/u16:2],
34,2359,7017,1.1,[kworker/0:1],
35,2369,267,7.1,/system/bin/mediaserver,
35,2369,7295,7.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
36,2379,2681,12.4,com.android.settings,ndroid.settings
36,2379,834,4.9,system_server,
36,2379,7295,3.7,/sbin/adbd,--root_seclabel=u:r:su:s0,
36,2379,251,2.4,/system/bin/surfaceflinger,
36,2379,1878,1.2,com.android.systemui,ndroid.systemui
36,2379,10050,1.2,uiautomator,
36,2379,10047,1.2,logcat,-v time,
