Hours,Process_Name,cpu%,json Name
1,com.android.browser,72,cpuinfo4
1,system_server,52.3,cpuinfo83
1,procrank,52.1,cpuinfo68
1,com.android.settings,44.9,cpuinfo18
1,com.android.launcher3,40.8,cpuinfo11
1,/sbin/adbd,30.4,cpuinfo70
1,/system/bin/ccci_mdinit,26.1,cpuinfo74
1,logcat,26,cpuinfo64
1,com.letv.android.weather,23.4,cpuinfo27
1,com.android.incallui,22.7,cpuinfo10
1,/system/bin/surfaceflinger,19.9,cpuinfo81
1,/system/bin/mediaserver,19.2,cpuinfo76
1,com.android.dialer,18.5,cpuinfo8
1,com.android.systemui,18.3,cpuinfo19
1,com.android.mms,17.6,cpuinfo13
1,com.android.contacts,16.6,cpuinfo6
1,com.android.browser:service,16.6,cpuinfo5
1,[bat_thread_kthr],16.6,cpuinfo2
1,com.mediatek.ppl,14.5,cpuinfo30
1,com.android.deskclock,13.3,cpuinfo7
1,com.letv.app.appstore,12.8,cpuinfo28
1,com.android.phone,12.6,cpuinfo15
1,/sbin/healthd,10.7,cpuinfo71
1,uiautomator,9.2,cpuinfo86
1,com.letv.android.freeflow,8.5,cpuinfo23
1,com.letv.agnes,8.5,cpuinfo22
1,com.android.launcher3:cde,8.5,cpuinfo12
1,[kworker/0:1],8.3,cpuinfo45
1,com.mediatek.providers.drm,8.3,cpuinfo31
1,com.android.gallery3d,8.3,cpuinfo9
1,[kworker/u16:4],8.1,cpuinfo59
1,[hif_thread],8.1,cpuinfo38
1,/system/bin/servicemanager,7.7,cpuinfo80
1,[kworker/u16:7],7.7,cpuinfo61
1,[kworker/u16:3],7.7,cpuinfo58
1,/system/bin/mtkrild,7.6,cpuinfo78
1,[mtk_charger_hv_],7.6,cpuinfo66
1,[cfinteractive],7.6,cpuinfo3
1,/system/bin/mtk_agpsd,7.1,cpuinfo77
1,[kworker/u16:6],7.1,cpuinfo60
1,[ksoftirqd/0],7.1,cpuinfo42
1,[hps_main],7.1,cpuinfo39
1,[frame_update_wo],7.1,cpuinfo36
1,[mmcqd/0],6.1,cpuinfo65
1,[disp_idlemgr],6.1,cpuinfo34
1,system:ui,6,cpuinfo84
1,/sbin/ueventd,5.3,cpuinfo72
1,/system/bin/wpa_supplicant,4.5,cpuinfo82
1,/system/bin/aal,4.5,cpuinfo73
1,[kworker/0:2],4.5,cpuinfo46
1,[kworker/1:3],4.3,cpuinfo50
1,[display_check_a],4.3,cpuinfo35
1,com.android.providers.calendar,4.3,cpuinfo16
1,/system/bin/netd,4.2,cpuinfo79
1,[kworker/u16:1],4.2,cpuinfo56
1,[ksdioirqd/mmc1],4.2,cpuinfo41
1,[conn-md-thread],4.2,cpuinfo33
1,com.letv.android.theme,4.2,cpuinfo25
1,[tx_thread],4,cpuinfo85
1,/system/bin/gsm0710muxd,4,cpuinfo75
1,[kworker/u17:0],4,cpuinfo63
1,[kworker/u16:8],4,cpuinfo62
1,[kworker/u16:0],4,cpuinfo55
1,[ksoftirqd/1],3.8,cpuinfo43
1,com.letv.android.wallpaperonline,3.8,cpuinfo26
1,[present_fence_w],3.5,cpuinfo67
1,com.android.testing.dummyime,3.5,cpuinfo20
1,android.process.acore,3.5,cpuinfo1
1,[rcu_sched],3,cpuinfo69
1,[kworker/0:0],3,cpuinfo44
1,[fuse_log],3,cpuinfo37
1,com.letv.android.LetvShareProvider,3,cpuinfo24
1,[kworker/3:2],2.1,cpuinfo52
1,[kworker/u16:2],1.7,cpuinfo57
1,[kworker/2:2],1.5,cpuinfo51
1,[kworker/1:2],1.5,cpuinfo49
1,com.baidu.map.location,1.5,cpuinfo21
1,com.android.server.telecom,1.4,cpuinfo17
1,[kworker/4:1],1.3,cpuinfo53
1,[kworker/0:4],1.3,cpuinfo48
1,com.stv.stvpush,1.3,cpuinfo32
1,com.mediatek.mtklogger,1.2,cpuinfo29
1,[kworker/6:1],0.8,cpuinfo54
1,[ion_mm_heap],0.8,cpuinfo40
1,com.android.music,0.6,cpuinfo14
1,[kworker/0:3],0.5,cpuinfo47
