Hours,Process_Name,Pss(k),Pss Difference(k),json Name
1,com.android.browser,247012,179905,meminfo4
1,system_server,160594,45415,meminfo98
1,com.android.systemui,118449,29483,meminfo24
1,com.letv.android.weather,95561,90421,meminfo38
1,com.android.launcher3,90964,19600,meminfo14
1,com.android.mms,78665,68753,meminfo16
1,com.android.settings,74633,68806,meminfo23
1,com.android.incallui,62978,11653,meminfo12
1,com.android.dialer,57429,13778,meminfo10
1,com.android.phone,56715,28092,meminfo19
1,android.process.acore,29526,16308,meminfo1
1,com.android.server.telecom,27900,19000,meminfo22
1,/system/bin/mediaserver,37887,3896,meminfo78
1,/system/bin/surfaceflinger,37740,7093,meminfo92
1,com.letv.android.setupwizard,37514,1207,meminfo35
1,com.letv.android.bugreporter,30649,1287,meminfo30
1,zygote,19212,3725,meminfo102
1,com.letv.app.appstore,18414,2731,meminfo39
1,uiautomator,18013,4733,meminfo101
1,com.android.music,15669,1759,meminfo17
1,com.letv.android.freeflow,15552,7360,meminfo31
1,zygote64,15280,2730,meminfo103
1,android.process.media,13145,1006,meminfo2
1,com.letv.agnes,12974,2063,meminfo28
1,com.android.launcher3:cde,12806,2302,meminfo15
1,system:ui,12145,1134,meminfo99
1,com.android.deskclock,11879,1203,meminfo9
1,com.baidu.map.location,10991,2111,meminfo26
1,com.stv.stvpush,10780,2038,meminfo50
1,com.mediatek.bluetooth,10019,2474,meminfo44
1,com.android.browser:service,9914,1319,meminfo5
1,com.dolby,8656,1359,meminfo27
1,com.letv.android.phonecontrol,7977,1041,meminfo34
1,com.letv.android.theme,7715,1425,meminfo36
1,com.android.testing.dummyime,7263,2248,meminfo25
1,com.mediatek.nlpservice,7094,2141,meminfo47
1,com.mediatek.ppl,5689,1157,meminfo48
1,com.android.calendar,14335,530,meminfo6
1,com.android.gallery3d,11246,746,meminfo11
1,com.letv.android.ota,8841,572,meminfo33
1,com.android.contacts,8313,985,meminfo7
1,com.letv.android.wallpaperonline,7704,492,meminfo37
1,com.android.providers.calendar,7408,381,meminfo20
1,org.simalliance.openmobileapi.service:remote,6472,308,meminfo54
1,/system/bin/em_svr,6079,859,meminfo70
1,com.android.defcontainer,5662,745,meminfo8
1,com.letv.leui.schpwronoff,5555,731,meminfo42
1,com.mediatek.engineermode,5218,650,meminfo45
1,com.letv.android.LetvShareProvider,5153,135,meminfo32
1,com.mediatek.atci.service,5139,401,meminfo43
1,com.letv.bsp.crashhandler,5067,555,meminfo40
1,com.mediatek.mtklogger,4965,511,meminfo46
1,com.android.providers.permissionlog,4833,229,meminfo21
1,com.android.keychain,4820,290,meminfo13
1,com.mediatek.providers.drm,4716,743,meminfo49
1,com.letv.bugpostbox,4591,442,meminfo41
1,com.android.musicfx,4350,187,meminfo18
1,com.svox.pico,4274,164,meminfo51
1,/system/bin/mtkrild,2564,688,meminfo84
1,/system/bin/wpa_supplicant,2251,178,meminfo97
1,/system/bin/aal,2168,132,meminfo60
1,/system/bin/netd,1638,154,meminfo85
1,/system/bin/sh,559,198,meminfo91
1,/system/bin/mtkbt,4604,88,meminfo82
1,logcat,426,108,meminfo53
1,/system/bin/drmserver,3280,94,meminfo68
1,com.letv.android.account,32152,0,meminfo29
1,/init,1816,33,meminfo52
1,/system/bin/mtk_agpsd,1731,19,meminfo81
1,app_process,13560,0,meminfo3
1,/system/bin/vold,1262,14,meminfo95
1,/system/bin/guiext-server,1101,52,meminfo72
1,/system/bin/keystore,988,26,meminfo74
1,/system/bin/sdcard,872,84,meminfo89
1,/sbin/adbd,824,64,meminfo56
1,/system/bin/mobile_log_d,623,10,meminfo80
1,/system/bin/MtkCodecService,574,16,meminfo83
1,/system/bin/lmkd,533,23,meminfo75
1,/system/bin/gsm0710muxd,513,26,meminfo71
1,/system/bin/ccci_mdinit,506,10,meminfo64
1,/system/bin/ccci_fsd,493,31,meminfo63
1,/system/xbin/mnld,478,28,meminfo100
1,/system/bin/wifi2agps,374,23,meminfo96
1,/system/bin/logd,944,3,meminfo76
1,/sbin/ueventd,808,8,meminfo58
1,/system/bin/emdlogger1,724,7,meminfo69
1,/system/bin/debuggerd,689,9,meminfo65
1,procrank,682,0,meminfo55
1,/system/bin/ppl_agent,632,8,meminfo88
1,/system/bin/nvram_agent_binder,618,5,meminfo87
1,/system/bin/debuggerd64,567,5,meminfo66
1,/system/bin/installd,541,2,meminfo73
1,/system/bin/matv,523,7,meminfo77
1,/system/bin/netdiag,496,8,meminfo86
1,/system/bin/batterywarning,464,4,meminfo62
1,/system/bin/autokd,461,3,meminfo61
1,/system/bin/thermald,456,4,meminfo94
1,/system/bin/dhcpcd,428,6,meminfo67
1,/sbin/healthd,420,0,meminfo57
1,/system/bin/servicemanager,350,1,meminfo90
1,/system/bin/memsicd,261,2,meminfo79
1,/system/bin/6620_launcher,260,2,meminfo59
1,/system/bin/thermal,229,4,meminfo93
