Time:10,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
2018,1576564,2836,378072,696928,248380,564508,472,132420,247908,152,48,231260,67332
2028,1588120,2876,383340,681612,252916,548388,472,133224,252444,36,0,225548,67000
2038,1574944,3032,394684,699588,256296,558252,480,141336,255816,396,0,227856,66648
2048,1566056,3140,396696,707888,258368,566476,476,141412,257892,44,0,228664,66704
2059,1563956,3180,396928,709628,258572,568176,464,141452,258108,64,0,228688,66600
2068,1563740,3352,397352,708108,259068,566556,464,141552,258604,0,0,228772,67128
2078,1568360,3384,399568,703420,260416,560968,464,142452,259952,64,0,228416,66748
2088,1567116,3416,399700,704984,260576,562528,464,142456,260112,16,0,228488,66860
2099,1554368,3564,401168,714556,261972,571880,464,142676,261508,80,0,228916,66892
2109,1545732,3668,401480,723568,262360,580864,464,142704,261896,96,0,229036,66908
2119,1529820,3908,402720,736592,263040,593088,464,143504,262576,72,0,231756,67468
2129,1515368,4116,403252,745036,263616,601372,464,143664,263152,248,40,233972,68384
2140,1521808,4180,403972,741120,264328,597380,464,143740,263864,0,0,233612,68504
2149,1521044,4300,404048,740800,264440,597028,480,143772,263960,364,0,233572,68520
2160,1522036,4332,404104,740436,264572,596656,480,143780,264092,76,0,233584,68504
2169,1459064,4544,415312,788960,275608,644908,484,144052,275124,48,0,235568,68604
2179,1456912,4596,416172,791404,276580,647300,480,144104,276100,48,0,235748,68860
2189,1465272,4620,416448,782236,276816,638116,480,144120,276336,4,0,235744,68784
2199,1437188,4776,417276,795368,277776,651176,464,144192,277312,100,0,236084,69100
2210,1444836,4880,417584,787020,278052,642788,464,144232,277588,444,0,236104,69272
2219,1445720,5016,417528,785184,278200,640924,464,144260,277736,52,0,236108,69604
2229,1441424,5048,417600,788384,278296,644116,464,144268,277832,20,0,236428,69804
2239,1447648,5132,417468,785184,277064,639744,464,145440,276600,20,0,235656,69376
2249,1446856,5160,417484,784448,277100,638988,464,145460,276636,32,0,235672,69528
2260,1444144,5272,417428,788976,277176,643536,464,145440,276712,36,0,235776,69600
2269,1436376,5360,417508,796200,277336,650748,464,145452,276872,456,0,235760,69648
2279,1428944,5480,417552,801428,277492,655972,464,145456,277028,64,4,236052,69820
2290,1436416,5560,417584,795748,277592,650280,464,145468,277128,64,0,236100,69704
2299,1440424,5664,417504,791872,277600,646388,464,145484,277136,40,0,237368,69692
2309,1433700,6020,430064,787008,288512,639588,444,147420,288068,92,0,236688,69824
2319,1433516,6308,432704,785000,291248,637340,444,147660,290804,120,0,237004,69928
2329,1432372,6608,432832,786104,291668,638436,460,147668,291208,4,0,237080,70044
2339,1434224,6772,432836,783920,291816,636232,460,147688,291356,16,0,237080,69964
2349,1421812,6880,432912,796024,292000,648336,460,147688,291540,52,0,237136,69960
2359,1425160,6932,432936,789952,292052,642240,460,147712,291592,48,0,237424,70060
2370,1421176,7072,432980,796600,292228,648880,472,147720,291756,28,0,237132,70120
2380,1428008,7152,433336,787248,292644,639508,444,147740,292200,148,0,237124,70028
2389,1430472,7240,433260,786892,292664,639160,444,147732,292220,100,0,237136,69964
2399,1424388,7392,433268,790544,292804,642792,444,147752,292360,0,0,237452,70076
2409,1441948,7480,433396,776284,292752,628264,444,148020,292308,184,0,235624,69800
2419,1433508,7512,433144,783472,292524,635444,444,148028,292080,60,0,236880,69864
2429,1428356,7612,433188,787508,292636,639448,444,148060,292192,0,0,236972,69944
2439,1414392,7684,433112,802760,292612,654680,444,148080,292168,72,0,236904,69928
2449,1420976,7820,433200,795756,292804,647652,444,148104,292360,76,0,237064,70036
2460,1414320,7884,433260,801732,292916,653604,440,148128,292476,48,0,237340,70048
2469,1425452,7988,433240,791452,292988,643316,444,148136,292544,388,0,237352,69920
2479,1420928,8248,433248,802404,284644,645656,444,156748,284200,68,0,236908,69740
2489,1418808,8456,433280,806600,282384,647352,444,159248,281940,0,0,236944,69996
2499,1403880,8708,442212,814020,291332,654536,448,159484,290884,404,0,238836,69928
2509,1389764,8820,447712,821704,296736,662056,448,159648,296288,64,0,240752,69984
2519,1358324,8976,469512,830588,318412,670616,580,159972,317832,92,0,248048,70324
