Loop:10,Time,PID,Process_Name,Pss,Native_Heap(Size),Native_Heap(Alloc),Native_Heap(Free),Dalvik_Heap(Size),Dalvik_Heap(Alloc),Dalvik_Heap(Free),Dalvik_Pss,Avgs
0,2018,1,/init,1783,0,0,0,0,0,0,0,null
0,2018,186,/sbin/ueventd,808,0,0,0,0,0,0,0,null
0,2018,246,/system/bin/logd,944,0,0,0,0,0,0,0,null
0,2018,247,/sbin/healthd,420,0,0,0,0,0,0,0,null
0,2018,248,/system/bin/lmkd,518,0,0,0,0,0,0,0,null
0,2018,249,/system/bin/servicemanager,350,0,0,0,0,0,0,0,null
0,2018,250,/system/bin/vold,1255,0,0,0,0,0,0,0,null
0,2018,252,/system/bin/autokd,460,0,0,0,0,0,0,0,null
0,2018,251,/system/bin/surfaceflinger,34407,0,0,0,0,0,0,0,null
0,2018,255,/system/bin/6620_launcher,259,0,0,0,0,0,0,0,-m 4 -p /system/etc/firmware/
0,2018,256,/system/bin/ccci_fsd,492,0,0,0,0,0,0,0,0
0,2018,257,/system/bin/ccci_mdinit,500,0,0,0,0,0,0,0,0
0,2018,261,/system/bin/sh,462,0,0,0,0,0,0,0,null
0,2018,263,/system/bin/netd,1534,0,0,0,0,0,0,0,null
0,2018,264,/system/bin/debuggerd,684,0,0,0,0,0,0,0,null
0,2018,265,/system/bin/debuggerd64,566,0,0,0,0,0,0,0,null
0,2018,266,/system/bin/drmserver,3257,0,0,0,0,0,0,0,null
0,2018,268,/system/bin/installd,539,0,0,0,0,0,0,0,null
0,2018,274,/system/bin/keystore,967,0,0,0,0,0,0,0,/data/misc/keystore
0,2018,267,/system/bin/mediaserver,33991,0,0,0,0,0,0,0,null
0,2018,278,/system/bin/mobile_log_d,618,0,0,0,0,0,0,0,null
0,2018,280,/system/bin/netdiag,490,0,0,0,0,0,0,0,null
0,2018,284,/system/bin/aal,2050,0,0,0,0,0,0,0,null
0,2018,285,/system/bin/ppl_agent,629,0,0,0,0,0,0,0,null
0,2018,286,/system/bin/matv,521,0,0,0,0,0,0,0,null
0,2018,287,/system/bin/mtk_agpsd,1726,0,0,0,0,0,0,0,null
0,2018,290,/system/bin/wifi2agps,351,0,0,0,0,0,0,0,null
0,2018,291,/system/xbin/mnld,452,0,0,0,0,0,0,0,null
0,2018,292,/system/bin/memsicd,260,0,0,0,0,0,0,0,null
0,2018,293,/system/bin/nvram_agent_binder,617,0,0,0,0,0,0,0,null
0,2019,295,/system/bin/thermal,225,0,0,0,0,0,0,0,null
0,2019,297,/system/bin/thermald,454,0,0,0,0,0,0,0,null
0,2019,299,/system/bin/batterywarning,461,0,0,0,0,0,0,0,null
0,2019,300,/system/bin/MtkCodecService,565,0,0,0,0,0,0,0,null
0,2019,301,/system/bin/guiext-server,1064,0,0,0,0,0,0,0,null
0,2019,305,/system/bin/mtkbt,4580,0,0,0,0,0,0,0,null
0,2019,302,zygote64,13590,0,0,0,0,0,0,0,null
0,2019,306,/system/bin/sdcard,788,0,0,0,0,0,0,0,-u 1023 -g 1023 -l /data/media /mnt/shell/emulated
0,2019,303,zygote,17780,0,0,0,0,0,0,0,null
0,2019,307,/system/bin/em_svr,5283,0,0,0,0,0,0,0,null
0,2019,751,/system/bin/emdlogger1,724,0,0,0,0,0,0,0,null
0,2019,752,/system/bin/gsm0710muxd,511,0,0,0,0,0,0,0,-s /dev/ttyC0 -f 512 -n 8 -m basic
0,2019,768,/system/bin/mtkrild,2434,0,0,0,0,0,0,0,null
0,2019,1878,com.android.systemui,88966,28807,28807,24440,38007,36383,1624,0,null
0,2019,834,system_server,120104,39533,39533,54674,47979,47050,929,0,null
0,2020,2567,com.letv.android.phonecontrol,7014,10182,10182,16441,1396,1257,139,0,null
0,2020,2545,com.mediatek.bluetooth,7545,6191,6191,17360,5993,726,5267,0,null
0,2020,2589,com.dolby,7297,9884,9884,15715,1773,856,917,0,null
0,2020,2452,com.baidu.map.location,9647,6964,6964,19659,1208,1101,107,0,null
0,2020,2612,com.android.server.telecom,8900,11995,11995,14628,1589,1099,490,0,null
0,2020,2975,/system/bin/wpa_supplicant,2170,0,0,0,0,0,0,0,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0
0,2020,2657,com.mediatek.nlpservice,4953,8786,8786,17837,1211,624,587,0,null
0,2020,2833,com.letv.android.setupwizard,37514,21194,21194,41269,3617,2769,848,0,null
0,2020,2634,com.android.phone,29185,19915,19915,26164,4782,4333,449,0,null
0,2020,2681,com.android.settings,50328,28164,28164,27131,7424,5604,1820,0,null
0,2020,3119,com.letv.android.freeflow,8192,12930,12930,17789,1138,662,476,0,null
0,2020,3083,com.letv.agnes,11084,13223,13223,22616,1521,1124,397,0,null
0,2020,3052,com.android.mms,11515,8390,8390,22329,1664,1191,473,0,null
0,2020,3017,com.letv.app.appstore,15683,10599,10599,22168,3149,2643,506,0,null
0,2020,2976,com.android.launcher3,90964,31529,31529,24790,27173,26409,764,0,null
0,2021,3182,com.android.providers.calendar,7408,12439,12439,16232,986,793,193,0,null
