CASENO,CASENAME,TIME,BATTERY
1,testMOCallSim1,07:36,99
2,testMOCallSim2,07:39,98
3,testBrowsingSim1,07:42,97
4,testBrowsingSim2,07:46,96
5,testSMSSim1,07:49,95
6,testSMSSim2,07:52,94
7,testEmergencyCall,07:55,93
8,testWifiConnection,07:57,93
9,testOpenPage,07:59,92
10,testOpenWeather,08:00,92
11,testOpenContact,08:02,92
12,testAddDelContacts,08:03,92
13,testCalculator,08:04,91
14,testOpenNote,08:07,91
15,testAPMConnection,08:08,90
16,testOpenCalendar,08:12,90
17,testLoginAccount,08:13,90
18,testLeStore,08:14,89
19,testOpenWPS,08:15,89
20,testGPSConnection,08:17,89
21,testLookCalendar,08:18,89
22,testOpenFileManager,08:19,89
23,testMMSSim1,08:21,88
24,testMMSSim2,08:27,87
25,testopenEmail,08:31,86
26,testsendEmail,08:33,86
27,testOpenMusicPlay,08:36,85
28,testOpenVideoPlayer,08:37,85
29,testPlayMusic,08:39,85
30,testPlayVideo,08:41,85
31,testRecordVideo,08:46,84
32,testCameraSwitchVideo,08:48,83
33,testEditPic,08:49,83
34,testOpenGallery,08:51,82
35,testRecodeAudio,08:53,82
36,testWallPaperOnline,08:54,81
37,testOpenMap,08:57,81
