Loop:10,Time,Activity,usr,sys,nic,idle,io,irq,sirq,Data Time
0,140,t9,0,0,0,0,100,0,0,2015/12/06 23:36:20
1,161,t10,22.7,17,4.5,52.2,1.1,1.1,1.1,2015/12/06 23:36:42
2,171,t10,1,7.1,0,90.8,0,0,1,2015/12/06 23:36:52
3,181,t11,6.1,13.4,0,79.3,0,0,1,2015/12/06 23:37:02
4,191,t11,2.1,6.5,0,91.3,0,0,0,2015/12/06 23:37:12
5,201,t11,7.1,15.4,3.5,72.6,0,0,1.1,2015/12/06 23:37:22
6,211,t7,2,8,0,89,0,0,1,2015/12/06 23:37:32
7,221,t12,1.8,6.3,0,91.8,0,0,0,2015/12/06 23:37:42
8,231,t12,1.9,8.7,0,89.3,0,0,0,2015/12/06 23:37:52
9,241,t12,0,9.5,0,90.4,0,0,0,2015/12/06 23:38:02
10,251,t7,8.5,13.8,0,76.5,0,1,0,2015/12/06 23:38:12
11,261,t13,0,7.8,0,91.3,0,0.8,0,2015/12/06 23:38:22
12,271,t13,0,8.7,0,91.2,0,0,0,2015/12/06 23:38:32
13,281,t13,0.9,5.8,0,93.1,0,0,0,2015/12/06 23:38:42
14,291,t7,1.8,9,0,89.1,0,0,0,2015/12/06 23:38:52
15,301,t7,0,10.9,0,87.2,0.9,0,0.9,2015/12/06 23:39:02
16,311,t7,2,8.1,0,85.7,0,4,0,2015/12/06 23:39:12
17,321,t7,0,9,0,90.9,0,0,0,2015/12/06 23:39:22
18,331,t7,5.3,12.9,0,79.5,0,1,1,2015/12/06 23:39:32
19,341,t7,16.8,20.4,0,62.6,0,0,0,2015/12/06 23:39:42
20,351,t14,0,8.3,0,90.7,0,0.9,0,2015/12/06 23:39:52
21,361,t15,24.1,19.5,0,55.1,0,1.1,0,2015/12/06 23:40:02
22,371,t15,2.6,7.1,0,90.1,0,0,0,2015/12/06 23:40:12
23,381,t15,2.6,8.6,0,88.6,0,0,0,2015/12/06 23:40:21
24,391,t7,6.2,13.5,0,80.2,0,0,0,2015/12/06 23:40:32
25,401,t16,6.8,10.3,0,81.6,0,1.1,0,2015/12/06 23:40:42
26,411,t16,11.3,41.7,0,44.3,0,0,2.5,2015/12/06 23:40:52
27,421,t16,29.8,22.9,0,45.9,0,0,1.1,2015/12/06 23:41:01
28,431,t16,8.5,20.2,0,68,1,2.1,0,2015/12/06 23:41:12
29,441,t18,24.4,24.4,0,51.1,0,0,0,2015/12/06 23:41:22
30,452,t18,0,7,0,92.9,0,0,0,2015/12/06 23:41:33
31,462,t18,8.8,5.5,0,85.5,0,0,0,2015/12/06 23:41:44
32,472,t18,6.5,8.6,0,84.7,0,0,0,2015/12/06 23:41:53
33,482,t7,1,7.2,0,90.7,0,0,1,2015/12/06 23:42:03
34,492,t7,1.9,8.9,0,89.1,0,0,0,2015/12/06 23:42:13
35,502,t7,1.7,10.4,0,87.8,0,0,0,2015/12/06 23:42:23
36,512,t7,0,8.2,0,90.8,0,0,0.9,2015/12/06 23:42:33
37,522,t7,4,8.1,0,85.7,0,1,1,2015/12/06 23:42:43
38,532,t19,5.9,11.8,0,82.1,0,0,0,2015/12/06 23:42:53
39,542,t7,2.2,11.1,0,86.6,0,0,0,2015/12/06 23:43:04
40,552,t20,9.6,11.8,0,77.4,0,0,1,2015/12/06 23:43:13
41,562,t20,1,5,0,93,0,1,0,2015/12/06 23:43:23
42,572,t20,0,5.3,0,93.6,0,1,0,2015/12/06 23:43:33
43,582,t7,4.6,12.1,0,82.2,0,0,0.9,2015/12/06 23:43:43
44,592,t21,21.2,20.2,0,58.5,0,0,0,2015/12/06 23:43:54
45,602,t21,21.5,26.5,1.2,50.6,0,0,0,2015/12/06 23:44:03
46,612,t21,0.1,0,0,97.4,2.3,0,0,2015/12/06 23:44:14
47,622,t7,17.5,14.2,0,67,1,0,0,2015/12/06 23:44:24
48,632,t22,8.6,20.1,0,69.2,1.9,0,0,2015/12/06 23:44:33
49,642,t22,5.9,8.9,0,84.1,0,0,0.9,2015/12/06 23:44:44
50,652,t22,20.5,20.5,5.4,42.4,6.8,1.3,2.7,2015/12/06 23:44:53
51,662,t22,7.1,9.1,0,81.6,0,0,2,2015/12/06 23:45:03
52,672,t7,14.4,10,0,75.5,0,0,0,2015/12/06 23:45:13
53,682,t23,4.3,9.4,0,85.3,0.8,0,0,2015/12/06 23:45:23
54,692,t23,0.9,7.5,0,90.5,0,0,0.9,2015/12/06 23:45:33
55,702,t23,1.8,6.3,0,90.9,0,0,0.9,2015/12/06 23:45:43
56,712,t7,1,8.1,0,87.7,0,2,1,2015/12/06 23:45:53
57,722,t7,7.9,10.2,0,81.8,0,0,0,2015/12/06 23:46:03
58,732,t7,9.8,9.8,0,75.8,0,4.3,0,2015/12/06 23:46:14
59,742,t24,1.7,7.8,0,90.4,0,0,0,2015/12/06 23:46:23
60,752,t25,0,6.9,0,93,0,0,0,2015/12/06 23:46:34
61,762,t25,0.8,9.7,0,88.4,0,0.8,0,2015/12/06 23:46:43
62,772,t25,1,7,0,92,0,0,0,2015/12/06 23:46:53
63,782,t25,5.2,12.6,0,82.1,0,0,0,2015/12/06 23:47:03
