Loop:10,Time,PID,%CPU,Command,Thread/avgs
1,161,3805,14.7,com.android.settings,ndroid.settings
1,161,490,5.6,zygote64,
1,161,395,5.6,/system/bin/logd,
1,161,1182,4.5,system_server,
1,161,2774,2.2,com.android.phone,m.android.phone
1,161,6106,2.2,/sbin/adbd,--root_seclabel=u:r:su:s0
1,161,2844,1.1,com.android.launcher3,droid.launcher3
1,161,399,1.1,/system/bin/servicemanager,
1,161,6504,1.1,logcat,-b all -v time
2,171,328,1,[msm-core:sampli],
2,171,14,1,[ksoftirqd/1],
2,171,41,1,[kworker/1:1],
3,181,1182,2,system_server,
3,181,401,2,/system/bin/surfaceflinger,
3,181,79,2,[system],
3,181,2172,1,com.android.systemui,ndroid.systemui
3,181,3805,1,com.android.settings,ndroid.settings
3,181,395,1,/system/bin/logd,
3,181,6906,1,[mdss_fb0],
4,191,294,1,[cfinteractive],
4,191,58,1,[kworker/u16:3],
5,201,1182,14.2,system_server,
5,201,395,3.5,/system/bin/logd,
5,201,4118,1.1,com.letv.android.wallpaperonline,wallpaperonline
5,201,6106,1.1,/sbin/adbd,--root_seclabel=u:r:su:s0
5,201,3535,1.1,[irq/215-fc38800],
6,211,1182,0.9,system_server,
6,211,2844,0.9,com.android.launcher3,droid.launcher3
6,211,401,0.9,/system/bin/surfaceflinger,
6,211,19,0.9,[ksoftirqd/2],
6,211,58,0.9,[kworker/u16:3],
7,221,41,0.9,[kworker/1:1],
8,231,2172,0.8,com.android.systemui,ndroid.systemui
8,231,6106,0.8,/sbin/adbd,--root_seclabel=u:r:su:s0
8,231,294,0.8,[cfinteractive],
8,231,3535,0.8,[irq/215-fc38800],
8,231,387,0.8,[kworker/0:2],
9,241,1182,0.7,system_server,
9,241,395,0.7,/system/bin/logd,
9,241,294,0.7,[cfinteractive],
9,241,3,0.7,[ksoftirqd/0],
10,251,3805,5.8,com.android.settings,ndroid.settings
10,251,2844,4.8,com.android.launcher3,droid.launcher3
10,251,401,3.9,/system/bin/surfaceflinger,
10,251,6906,0.9,[mdss_fb0],
10,251,3535,0.9,[irq/215-fc38800],
10,251,387,0.9,[kworker/0:2],
11,261,1182,0.6,system_server,
11,261,57,0.6,[kworker/u16:2],
11,261,387,0.6,[kworker/0:2],
11,261,58,0.6,[kworker/u16:3],
12,271,294,0.7,[cfinteractive],
12,271,14,0.7,[ksoftirqd/1],
12,271,29,0.7,[ksoftirqd/4],
13,281,14,0.7,[ksoftirqd/1],
13,281,352,0.7,[kworker/u16:4],
14,291,395,1.8,/system/bin/logd,
14,291,57,0.9,[kworker/u16:2],
14,291,352,0.9,[kworker/u16:4],
15,301,6106,1.8,/sbin/adbd,--root_seclabel=u:r:su:s0
15,301,1182,0.9,system_server,
15,301,3535,0.9,[irq/215-fc38800],
15,301,24,0.9,[ksoftirqd/3],
16,311,1182,1,system_server,
16,311,2172,1,com.android.systemui,ndroid.systemui
16,311,2774,1,com.android.phone,m.android.phone
16,311,582,1,/system/bin/sensors.qcom,
16,311,6106,1,/sbin/adbd,--root_seclabel=u:r:su:s0
16,311,3,1,[ksoftirqd/0],
16,311,387,1,[kworker/0:2],
17,321,6106,1.5,/sbin/adbd,--root_seclabel=u:r:su:s0
17,321,352,0.7,[kworker/u16:4],
18,331,2844,6.5,com.android.launcher3,droid.launcher3
18,331,401,4.6,/system/bin/surfaceflinger,
18,331,6906,0.9,[mdss_fb0],
18,331,391,0.9,[kworker/u16:6],
18,331,14,0.9,[ksoftirqd/1],
18,331,5624,0.9,[kworker/0:0],
19,341,1182,10.1,system_server,
19,341,2844,4.5,com.android.launcher3,droid.launcher3
19,341,395,4.5,/system/bin/logd,
19,341,401,3.3,/system/bin/surfaceflinger,
19,341,3421,2.2,com.letv.agnes,
