Hours,Process_Name,cpu%,json Name
1,com.android.browser,33.2,cpuinfo8
1,com.sina.weibo,26.5,cpuinfo56
1,uiautomator,26.2,cpuinfo156
1,cn.wps.moffice_eng,25.3,cpuinfo7
1,app_process,24.9,cpuinfo5
1,/sbin/modprobe,24,cpuinfo132
1,/system/bin/logd,22.5,cpuinfo138
1,com.android.phone,20.8,cpuinfo25
1,com.letv.letvshop,20.3,cpuinfo49
1,com.android.settings,19.6,cpuinfo28
1,system_server,17.8,cpuinfo155
1,com.android.launcher3,17.4,cpuinfo20
1,sina.mobile.tianqitongletv,16.6,cpuinfo134
1,com.android.contacts,16.3,cpuinfo14
1,com.android.dialer,15.6,cpuinfo16
1,/sbin/adbd,15.2,cpuinfo130
1,com.android.music,15.2,cpuinfo22
1,com.android.email,14.6,cpuinfo17
1,android.process.acore,14,cpuinfo3
1,logcat,13.3,cpuinfo118
1,com.android.systemui,13.3,cpuinfo30
1,com.android.mms,13.1,cpuinfo21
1,com.letv.android.ecoProvider,11.4,cpuinfo39
1,com.android.calendar,11.4,cpuinfo11
1,/system/bin/pm-service,10.6,cpuinfo145
1,/system/bin/netd,9.4,cpuinfo142
1,/system/bin/surfaceflinger,9.3,cpuinfo153
1,[kworker/3:1],8.3,cpuinfo97
1,com.letv.agnes,7.9,cpuinfo34
1,/system/bin/rild,7.1,cpuinfo148
1,zygote64,6.5,cpuinfo159
1,/system/bin/rmt_storage,6.4,cpuinfo149
1,zygote,6.3,cpuinfo158
1,com.android.deskclock,5.8,cpuinfo15
1,/system/bin/servicemanager,5.3,cpuinfo152
1,com.sina.weibo:remote,5.3,cpuinfo57
1,com.letv.app.appstore,5.2,cpuinfo47
1,[kworker/1:0],5,cpuinfo81
1,[kswapd0],5,cpuinfo74
1,[d.process.acore],5,cpuinfo61
1,com.stv.android.videochat,5,cpuinfo58
1,/system/bin/qmuxd,4.7,cpuinfo146
1,[droid.gallery3d],4.6,cpuinfo62
1,com.letv.android.quicksearchbox,4.6,cpuinfo43
1,com.android.providers.calendar,4.6,cpuinfo26
1,com.android.cellbroadcastreceiver,4.6,cpuinfo13
1,com.letv.bugpostbox,4.2,cpuinfo48
1,com.android.gallery3d,4,cpuinfo19
1,[kworker/7:0],3.8,cpuinfo105
1,com.letv.leui.schpwronoff,3.5,cpuinfo50
1,/system/bin/netmgrd,3.4,cpuinfo143
1,com.android.server.telecom,3.4,cpuinfo27
1,[mdss_fb0],3.3,cpuinfo120
1,[kworker/2:3],3.3,cpuinfo92
1,com.qualcomm.timeservice,3.3,cpuinfo54
1,com.letv.android.wallpaperonline,3.2,cpuinfo46
1,[ksoftirqd/3],3.1,cpuinfo71
1,com.letv.android.filemanager,3.1,cpuinfo40
1,[ndroid.calendar],3,cpuinfo126
1,[system],2.9,cpuinfo135
1,com.qti.diagservices,2.9,cpuinfo51
1,/system/bin/sensors.qcom,2.8,cpuinfo151
1,com.stv.stvpush,2.8,cpuinfo59
1,[oid.ecoProvider],2.7,cpuinfo127
1,[kworker/2:1],2.7,cpuinfo86
1,com.android.calculator2,2.7,cpuinfo10
1,[kworker/u16:9],2.6,cpuinfo116
1,[kworker/u16:8],2.6,cpuinfo115
1,[mmcqd/0],2,cpuinfo123
1,[ksoftirqd/7],2,cpuinfo73
1,/system/bin/sdcard,1.8,cpuinfo150
1,/sbin/healthd,1.8,cpuinfo131
1,[kworker/u17:0],1.8,cpuinfo117
1,[ksoftirqd/2],1.8,cpuinfo70
1,[rcu_preempt],1.7,cpuinfo129
1,[kworker/u16:7],1.7,cpuinfo114
1,[kworker/u16:5],1.7,cpuinfo112
1,[kworker/u16:4],1.7,cpuinfo111
1,[kworker/u16:3],1.7,cpuinfo110
1,[kworker/u16:2],1.7,cpuinfo109
1,[kworker/u16:0],1.7,cpuinfo107
1,[kworker/0:16],1.7,cpuinfo78
1,[kworker/0:0],1.7,cpuinfo75
1,[ksoftirqd/1],1.7,cpuinfo69
1,[ksoftirqd/0],1.7,cpuinfo68
1,[jbd2/mmcblk0p47],1.7,cpuinfo67
1,com.letv.android.bugreporter,1.7,cpuinfo36
1,com.letv.android.accountinfo,1.7,cpuinfo35
1,/system/bin/thermal-engine,1.6,cpuinfo154
1,/system/bin/lmkd,1.6,cpuinfo137
1,org.simalliance.openmobileapi.service:remote,1.6,cpuinfo128
1,[msm-core:sampli],1.6,cpuinfo124
1,[mdss_dsi_event],1.6,cpuinfo119
1,[kworker/u16:6],1.6,cpuinfo113
1,[kworker/3:2],1.6,cpuinfo101
1,[kworker/3:0],1.6,cpuinfo96
1,[kworker/2:0],1.6,cpuinfo85
1,[kworker/0:2],1.6,cpuinfo79
1,[kworker/0:1],1.6,cpuinfo76
1,[irq/215-fc38800],1.6,cpuinfo65
1,[hwrng],1.6,cpuinfo64
1,com.quicinc.cne.CNEService,1.6,cpuinfo55
1,com.letv.android.ota,1.6,cpuinfo41
1,com.letv.android.client,1.6,cpuinfo37
1,com.android.testing.dummyime,1.6,cpuinfo31
1,[kworker/u16:1],1.5,cpuinfo108
1,[kworker/3:3],1.5,cpuinfo102
1,[kworker/3:15],1.5,cpuinfo98
1,[kworker/2:9],1.5,cpuinfo95
1,[kworker/2:8],1.5,cpuinfo94
1,[kworker/2:4],1.5,cpuinfo93
1,[kworker/2:1H],1.5,cpuinfo90
1,[kworker/2:17],1.5,cpuinfo88
1,[kworker/1:2],1.5,cpuinfo83
1,[kworker/1:1],1.5,cpuinfo82
1,[irq/224-spdm_bw],1.5,cpuinfo66
1,com.letv.android.usagestats,1.5,cpuinfo45
1,com.letv.android.phonecontrol,1.5,cpuinfo42
1,com.android.music:cde,1.5,cpuinfo23
1,com.android.exchange,1.5,cpuinfo18
1,[cfinteractive],1.5,cpuinfo6
1,android.process.media,1.5,cpuinfo4
1,[.android.dialer],1.5,cpuinfo2
1,[kworker/2:19],1.4,cpuinfo89
1,[kworker/2:15],1.4,cpuinfo87
1,/system/bin/ipacm,1.3,cpuinfo136
1,[msm_thermal:fre],1.3,cpuinfo125
1,[kworker/2:2],1.3,cpuinfo91
1,[kworker/0:15],1.3,cpuinfo77
1,com.qualcomm.telephony,1.3,cpuinfo53
1,com.android.nfc,1.3,cpuinfo24
1,com.android.browser:service,1.3,cpuinfo9
1,/system/bin/rfs_access,1.2,cpuinfo147
1,[kworker/5:0],1.2,cpuinfo104
1,com.qualcomm.qcrilmsgtunnel,1.2,cpuinfo52
1,com.letv.android.cloudservice,1.2,cpuinfo38
1,com.android.smspush,1.2,cpuinfo29
1,[migration/0],1.1,cpuinfo121
1,[kworker/7:18],1,cpuinfo106
1,[kworker/3:16],1,cpuinfo99
1,[ksoftirqd/4],1,cpuinfo72
1,[VosMCThread],0.9,cpuinfo157
1,[kworker/4:0],0.8,cpuinfo103
2,com.letv.android.wallpaperonline,47.8,cpuinfo46
2,com.baidu.BaiduMap,39.7,cpuinfo33
2,app_process,25.6,cpuinfo5
2,/system/bin/mediaserver,24.9,cpuinfo139
2,screencap,24.6,cpuinfo133
2,system_server,24.3,cpuinfo155
2,com.letv.android.recorder,23.7,cpuinfo44
2,com.android.videoplayer,23.7,cpuinfo32
2,com.android.gallery3d,21.6,cpuinfo19
2,/system/bin/logd,19,cpuinfo138
2,com.android.music,18,cpuinfo22
2,com.android.launcher3,14.5,cpuinfo20
2,com.android.systemui,14.1,cpuinfo30
2,/system/bin/mm-qcamera-daemon,12.5,cpuinfo140
2,com.android.settings,10.1,cpuinfo28
2,uiautomator,9.9,cpuinfo156
2,sina.mobile.tianqitongletv,9.9,cpuinfo134
2,com.letv.agnes,9.9,cpuinfo34
2,com.android.email,9.8,cpuinfo17
2,/system/bin/surfaceflinger,8.6,cpuinfo153
2,/system/bin/netd,8,cpuinfo142
2,com.android.camera2,7.6,cpuinfo12
2,com.stv.stvpush,6.6,cpuinfo59
2,[android.camera2],6.5,cpuinfo1
2,com.android.phone,6.4,cpuinfo25
2,com.letv.app.appstore,5.7,cpuinfo47
2,android.process.media,4.9,cpuinfo4
2,/system/bin/servicemanager,4.8,cpuinfo152
2,com.android.browser,4.3,cpuinfo8
2,/system/bin/sensors.qcom,3.4,cpuinfo151
