Hours,Process_Name,Pss(k),Pss Difference(k),json Name
1,/system/bin/surfaceflinger,245030,130913,meminfo120
1,com.android.browser,230239,178893,meminfo6
1,system_server,189462,57511,meminfo127
1,com.android.systemui,158910,59015,meminfo30
1,sina.mobile.tianqitongletv,105646,92778,meminfo78
1,com.android.phone,68632,23776,meminfo25
1,com.android.settings,64933,35967,meminfo28
1,com.android.music,57713,45879,meminfo21
1,com.android.mms,56693,47382,meminfo20
1,com.android.calendar,54153,46199,meminfo9
1,com.android.email,42343,31349,meminfo16
1,com.android.dialer,41743,34142,meminfo15
1,com.android.gallery3d,39136,28545,meminfo18
1,com.android.contacts,38130,31392,meminfo12
1,com.letv.android.note,30198,24379,meminfo48
1,com.android.browser:service,23703,17274,meminfo7
1,com.letv.letvshop,128613,6075,meminfo59
1,com.android.launcher3,93642,9266,meminfo19
1,cn.wps.moffice_eng,42607,3610,meminfo5
1,com.letv.android.account,35378,4498,meminfo39
1,com.letv.android.filemanager,26790,1142,meminfo45
1,com.android.calculator2,23283,3510,meminfo8
1,com.stv.android.videochat,23145,5173,meminfo69
1,uiautomator,22130,9700,meminfo131
1,/system/bin/mediaserver,21501,1151,meminfo101
1,android.process.acore,19720,9910,meminfo1
1,zygote,19490,4754,meminfo132
1,com.sina.weibo:remote,19163,5105,meminfo68
1,com.letv.app.appstore,19059,3082,meminfo56
1,com.letv.agnes,15857,3354,meminfo38
1,com.sina.weibo,15668,2042,meminfo67
1,com.letv.android.quicksearchbox,15236,7601,meminfo51
1,com.android.server.telecom,12227,2142,meminfo27
1,<pre-initialized>,11646,7951,meminfo74
1,com.android.nfc,11262,1711,meminfo24
1,android.process.media,11122,4450,meminfo2
1,com.android.deskclock,10703,2195,meminfo14
1,com.letv.android.quicksearchbox:install,10200,3168,meminfo52
1,com.stv.stvpush,10056,2169,meminfo70
1,/system/bin/logd,9892,3849,meminfo99
1,/system/bin/rild,9701,2146,meminfo114
1,com.baidu.map.location,9678,1966,meminfo36
1,com.letv.android.client,9064,1545,meminfo42
1,com.letv.android.ota,8988,2407,meminfo49
1,com.letv.bugpostbox,8528,2456,meminfo58
1,com.letv.android.ecoProvider,8405,2982,meminfo44
1,com.quicinc.cne.CNEService,8162,2207,meminfo66
1,com.dolby,8030,1156,meminfo37
1,com.letv.android.freeflow,7631,2342,meminfo46
