Time:10,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
140,122396,40076,2100716,831468,1917368,610676,556,220792,1916812,6916,0,256680,312368
161,110876,41564,2108976,868716,1911888,632672,540,236044,1911348,60,0,258636,316200
171,105584,44068,2110408,871376,1915076,634576,540,236800,1914536,0,0,263032,317080
182,115404,44016,2110336,889080,1914728,652068,544,237012,1914184,36,0,263168,317328
192,122024,44044,2112384,877548,1916800,640524,540,237024,1916260,68,0,263312,317328
201,119892,44060,2112420,879208,1916828,642160,540,237048,1916288,16,0,263332,317320
211,98116,44096,2112444,888236,1916876,651184,540,237052,1916336,96,0,263476,317360
221,99308,44188,2112496,896148,1917008,659080,540,237068,1916468,40,0,264584,317552
231,112408,44204,2112504,884700,1917016,647612,540,237088,1916476,4,0,263580,317512
241,112452,44220,2112512,883984,1917028,646884,540,237100,1916488,0,0,263576,317416
251,91260,44284,2112520,893456,1917084,656348,540,237108,1916544,148,0,263652,317504
261,78372,43948,2113432,922356,1917584,685164,352,237192,1917232,0,0,267852,317976
271,91324,43964,2113440,909124,1917608,671932,352,237192,1917256,28,0,267980,318048
281,90032,43972,2113448,910220,1917616,673020,352,237200,1917264,0,0,267964,318040
292,94752,44008,2115640,898908,1917884,659748,348,239160,1917536,4,0,264408,318016
301,96340,44028,2116032,897136,1918268,657952,348,239184,1917920,28,0,264448,318080
311,96116,44036,2116920,896544,1919144,657340,348,239204,1918796,0,0,264348,318176
321,93944,44052,2117868,898148,1920100,658932,348,239216,1919752,0,0,264404,318288
331,82880,44060,2118208,906876,1920428,667640,348,239236,1920080,60,0,265624,318472
341,89064,44084,2118216,911884,1920460,672648,348,239236,1920112,8,0,265664,318496
351,88064,44140,2118256,910828,1920524,671568,348,239260,1920176,112,0,265724,318552
361,91904,43816,2118216,922644,1920136,683356,348,239288,1919788,172,0,265656,318576
372,91908,43892,2119272,918068,1921000,678524,460,239544,1920540,96,0,266060,318656
381,94900,43908,2119288,915624,1921016,676052,460,239572,1920556,0,0,266076,318704
391,75364,43940,2119320,922300,1921044,682704,460,239596,1920584,88,0,266240,318800
401,79544,44024,2119360,930176,1921168,690568,460,239608,1920708,0,0,266204,318960
411,86392,44216,2119340,925240,1919656,683952,460,241288,1919196,0,0,266604,319016
421,115688,44548,2119408,964856,1856312,659820,460,305036,1855852,232,0,265312,321512
431,113600,45068,2119624,964368,1856752,659036,656,305332,1856096,0,0,258312,323032
