Loop:10,Time,PID,Process_Name,Pss,Native_Heap(Size),Native_Heap(Alloc),Native_Heap(Free),Dalvik_Heap(Size),Dalvik_Heap(Alloc),Dalvik_Heap(Free),Dalvik_Pss,Avgs
0,140,355,/sbin/ueventd,664,0,0,0,0,0,0,0,null
0,140,1,/init,996,0,0,0,0,0,0,0,null
0,140,395,/system/bin/logd,6043,0,0,0,0,0,0,0,null
0,140,396,/sbin/healthd,440,0,0,0,0,0,0,0,null
0,140,397,/system/bin/lmkd,469,0,0,0,0,0,0,0,null
0,140,399,/system/bin/servicemanager,387,0,0,0,0,0,0,0,null
0,140,400,/system/bin/vold,1145,0,0,0,0,0,0,0,null
0,140,404,/system/bin/rfs_access,533,0,0,0,0,0,0,0,null
0,140,401,/system/bin/surfaceflinger,245030,0,0,0,0,0,0,0,null
0,140,407,/system/bin/qseecomd,552,0,0,0,0,0,0,0,null
0,140,408,/system/bin/pm-service,1122,0,0,0,0,0,0,0,null
0,140,411,/system/bin/rmt_storage,557,0,0,0,0,0,0,0,null
0,140,442,/system/bin/sh,490,0,0,0,0,0,0,0,null
0,140,443,/system/bin/netd,1608,0,0,0,0,0,0,0,null
0,140,444,/system/bin/debuggerd,372,0,0,0,0,0,0,0,null
0,140,445,/system/bin/debuggerd64,395,0,0,0,0,0,0,0,null
0,140,446,/system/bin/rild,8489,0,0,0,0,0,0,0,null
0,140,447,/system/bin/drmserver,1694,0,0,0,0,0,0,0,null
0,141,452,/system/bin/installd,362,0,0,0,0,0,0,0,null
0,141,448,/system/bin/mediaserver,21493,0,0,0,0,0,0,0,null
0,141,455,/system/bin/keystore,855,0,0,0,0,0,0,0,/data/misc/keystore
0,141,457,/system/bin/qseecomd,683,0,0,0,0,0,0,0,null
0,141,472,/system/bin/qcom-system-daemon,882,0,0,0,0,0,0,0,null
0,141,478,/system/bin/cnss_diag,779,0,0,0,0,0,0,0,--q
0,141,483,/system/bin/sw_coredump,276,0,0,0,0,0,0,0,null
0,141,485,/system/bin/thermal-engine,2746,0,0,0,0,0,0,0,null
0,141,486,/system/bin/adsprpcd,488,0,0,0,0,0,0,0,null
0,141,487,/system/bin/imsqmidaemon,616,0,0,0,0,0,0,0,null
0,141,490,zygote64,13859,0,0,0,0,0,0,273,null
0,141,491,zygote,19490,0,0,0,0,0,0,421,null
0,141,493,/system/bin/cnd,998,0,0,0,0,0,0,0,null
0,141,495,/system/bin/cnss-daemon,874,0,0,0,0,0,0,0,-n -l
0,141,496,/system/bin/loc_launcher,425,0,0,0,0,0,0,0,null
0,141,504,/system/bin/sdcard,989,0,0,0,0,0,0,0,-u 1023 -g 1023 -l /data/media /mnt/shell/emulated
0,141,502,/system/bin/ATFWD-daemon,2499,0,0,0,0,0,0,0,null
0,141,505,/system/bin/sdcard,299,0,0,0,0,0,0,0,-u 1023 -g 1023 -w 1023 -d /mnt/media_rw/sdcard1 /storage/sdcard1
0,141,506,/system/bin/sdcard,299,0,0,0,0,0,0,0,-u 1023 -g 1023 -w 1023 -d /mnt/media_rw/uicc0 /storage/uicc0
0,141,511,/system/bin/sdcard,295,0,0,0,0,0,0,0,-u 1023 -g 1023 -w 1023 -d /mnt/media_rw/uicc1 /storage/uicc1
0,141,512,/system/bin/sdcard,357,0,0,0,0,0,0,0,-u 1023 -g 1023 -w 1023 -d /mnt/media_rw/usbotg /storage/usbotg
0,141,513,/system/bin/mm-qcamera-daemon,19991,0,0,0,0,0,0,0,null
0,142,514,/system/bin/time_daemon,997,0,0,0,0,0,0,0,null
0,142,518,/system/bin/mm-pp-daemon,2294,0,0,0,0,0,0,0,--enable-ad
0,142,533,/system/bin/pm-proxy,617,0,0,0,0,0,0,0,null
0,142,517,/system/bin/audiod,1488,0,0,0,0,0,0,0,null
0,142,535,/system/bin/qmuxd,944,0,0,0,0,0,0,0,null
0,142,560,/system/bin/ipacm-diag,484,0,0,0,0,0,0,0,null
0,142,565,/system/bin/imsdatadaemon,881,0,0,0,0,0,0,0,null
0,142,568,/system/bin/ipacm,1433,0,0,0,0,0,0,0,null
0,142,582,/system/bin/sensors.qcom,3397,0,0,0,0,0,0,0,null
0,142,599,/system/bin/rild,7555,0,0,0,0,0,0,0,-c 2
0,142,600,/system/bin/msm_irqbalance,472,0,0,0,0,0,0,0,-f /system/vendor/etc/msm_irqbalance.conf
0,142,611,/system/vendor/bin/qti,947,0,0,0,0,0,0,0,null
0,142,629,/system/bin/netmgrd,3676,0,0,0,0,0,0,0,null
0,142,717,/system/bin/location-mq,380,0,0,0,0,0,0,0,--gtp-wifi BASIC --gtp-cell DISABLED --gtp-waa DISABLED --pip DISABLED
0,142,718,/system/bin/lowi-server,932,0,0,0,0,0,0,0,--gtp-wifi BASIC --gtp-waa DISABLED --pip DISABLED
0,142,719,/system/bin/xtwifi-inet-agent,1256,0,0,0,0,0,0,0,--gtp-wifi BASIC --gtp-cell DISABLED
0,142,926,/system/bin/dts_eagle_service,618,0,0,0,0,0,0,0,null
0,142,721,/system/vendor/bin/slim_ap_daemon,5556,0,0,0,0,0,0,0,--pip DISABLED --sap BASIC
0,143,2172,com.android.systemui,102054,30951,30951,27416,67401,54001,13400,54163,null
0,143,1182,system_server,131951,58108,58108,42243,60280,48861,11419,54618,null
0,143,2550,com.baidu.map.location,9317,7281,7281,19342,1057,620,437,982,null
0,143,2624,com.letv.bsp.qccrashhandler,4812,8847,8847,14704,1143,809,334,961,null
0,143,2654,com.letv.android.phonecontrol,12571,13941,13941,19850,1714,1390,324,2096,null
0,143,2682,com.dolby,6882,9481,9481,16118,1578,867,711,1811,null
0,143,2702,com.letv.android.freeflow,5289,8672,8672,15903,1142,634,508,783,null
0,144,2750,com.android.nfc,9551,10893,10893,14706,1897,912,985,1586,null
0,144,2726,com.android.server.telecom,10591,12062,12062,15585,2039,1373,666,2069,null
